FID,OBJECTID,arcid,grid_code,from_node,to_node,Shape_Leng,local,downarc,SELEV,EELEV,MAXGRID,uparc,dz,slope,meanmsq,segorder,chanclass,hyddepth,hydwidth,effwidth,effdepth,MIN_SOILDE,segdepth,CHIN,Chin_Use,COHO,Coho_Use,STHD,Sthd_Use,PINK,Pink_Use,LMB,WAC173201A
131,132,132,129,143,131,1678.858223,126,129,168.6699982,150.6230011,33,-1,18.0466003,0.0107493,1417500,1,8,1,0.05,0.15,2.03689,2.213354588,2.1440899,0,0,1,3,0,0,0,0,0,2
132,133,133,137,140,147,600,34,145,106.3700027,103.1829987,349,129,3.1867001,0.0053112,8235000,3,8,1,0.05,0.15,1.9749399,2.07888341,2.0788801,0,0,1,3,1,2,0,0,0,2
133,134,134,145,148,147,525,55,145,139.4089966,103.1829987,36,-1,36.2262993,0.0690025,607500,1,7,0.5,0.05,0.1,1.90416,2.07888341,2.00437,0,0,1,1,1,1,0,0,0,2
134,135,135,138,150,141,936.3961031,83,130,13.0597,12.9685001,71862,149,0.09123,0.0000974,1617820032,79,6,4.5,0.03,0.21,2.34354,2.582178354,2.4668801,1,2,1,2,1,2,1,1,1,1
135,136,136,142,151,150,1037.132034,82,135,14.7351999,13.0597,15,-1,1.67549,0.0016155,922500,1,1,0.5,0.03,0.06,2.1480701,2.261121511,2.2611201,1,1,1,2,1,1,1,1,0,1
136,137,137,146,149,153,1637.132034,176,148,598.9110107,544.9630127,40,-1,53.9474983,0.0329524,1980000,1,8,1,0.05,0.15,1.57753,1.660558343,1.66056,0,0,0,0,0,0,0,0,0,3
137,138,138,149,154,153,1050,68,148,574.1699829,544.9630127,722,142,29.2071991,0.0278164,17010000,4,9,2,0.05,0.2,1.57753,1.660558343,1.66056,0,0,0,0,0,0,0,0,0,3
138,139,139,134,136,156,1722.792206,65,174,159.3419952,153.3130035,344,123,6.0286999,0.0034994,8460000,2,8,1,0.05,0.15,1.8969001,2.02686286,1.99673,0,0,1,3,1,1,0,0,0,2
139,140,140,135,138,156,1466.726189,77,174,224.9920044,153.3130035,1,-1,71.6788025,0.0488699,855000,1,7,0.5,0.05,0.1,1.8070101,1.940375328,1.90212,0,0,0,0,0,0,0,0,0,2
140,141,141,119,115,157,3409.188309,190,172,241.3679962,156.4689941,398,105,84.8988037,0.0249029,11092500,3,9,2,0.05,0.2,1.50256,1.581640363,1.58164,0,0,0,0,0,0,0,0,0,3
141,142,142,150,161,154,2824.264069,190,138,705.3800049,574.1699829,331,154,131.2100067,0.0464582,9585000,3,8,1,0.05,0.15,1.46287,1.539865732,1.53987,0,0,0,0,0,0,0,0,0,3
142,143,143,151,155,161,799.2640687,79,142,845.1240234,705.3800049,16,-1,139.7429962,0.17484,877500,1,13,0.5,0.1,0.2,1.29539,1.363572717,1.36357,0,0,0,0,0,0,0,0,0,3
143,144,144,139,142,162,1466.726189,78,164,136.8040009,98.3967972,46,-1,38.407299,0.0261857,877500,1,7,0.5,0.05,0.1,1.99683,2.101929665,2.1019299,0,0,1,1,0,0,0,0,0,2
144,145,145,144,147,162,724.2640687,29,164,103.1829987,98.3967972,439,133,4.7863002,0.0066085,10192500,4,9,2,0.05,0.2,1.9749399,2.07888341,2.0788801,0,0,1,3,1,2,0,0,1,2
145,146,146,159,160,163,318.1980515,55,153,570.4829712,541.0219727,10,-1,29.4612007,0.0925876,607500,1,7,0.5,0.05,0.1,1.6328599,1.767174244,1.7187999,0,0,0,0,0,0,0,0,0,3
146,147,147,163,164,163,1050,6,153,541.0219727,541.0219727,1518,148,0,0.00001,34222500,6,5,4,0.03,0.18,2.20646,2.510228395,2.3225901,0,0,0,0,0,0,0,0,0,3
147,148,148,148,153,164,3186.396103,297,147,544.9630127,541.0219727,966,138,3.9410999,0.0012369,25065000,5,4,3,0.03,0.15,1.57753,1.660558343,1.66056,0,0,0,0,0,0,0,0,0,3
148,149,149,152,165,150,786.3961031,48,135,13.0597,13.0597,71741,161,0,0.00001,1614710016,78,6,4.5,0.03,0.21,2.4676001,2.60350275,2.5974801,1,2,1,2,1,2,1,1,1,1
149,150,150,155,166,157,1236.396103,54,172,184.397995,156.4689941,4626,151,27.9290009,0.022589,104692000,21,12,4.5,0.05,0.35,1.78038,1.874088526,1.87409,1,3,1,3,1,4,1,1,0,2
150,151,151,131,133,166,3833.452378,263,150,321.9750061,184.397995,4298,122,137.5769958,0.0358886,99652496,20,12,4.5,0.05,0.35,1.65604,1.743198276,1.7431999,0,0,0,0,1,4,0,0,0,3
151,152,152,165,167,166,825,56,150,231.298996,184.397995,41,-1,46.9011002,0.0568498,630000,1,7,0.5,0.05,0.1,1.78038,1.874088526,1.87409,0,0,0,0,0,0,0,0,0,2
152,153,153,162,163,169,874.2640687,100,158,541.0219727,541.0219727,1579,147,0,0.00001,36652500,7,5,4,0.03,0.18,1.76919,2.246230125,1.8623101,0,0,0,0,0,0,0,0,0,3
153,154,154,167,170,161,2110.660172,108,142,858.3449707,705.3800049,152,155,152.9640045,0.0724723,4635000,2,8,1,0.05,0.15,1.26045,1.326788664,1.32679,0,0,0,0,0,0,0,0,0,3
154,155,155,141,145,170,1187.132034,66,154,1070.810059,858.3449707,54,-1,212.4680023,0.178976,742500,1,13,0.5,0.1,0.2,1.17422,1.250833392,1.23602,0,0,0,0,0,0,0,0,0,3
155,156,156,172,171,170,375,79,154,877.3920288,858.3449707,18,-1,19.0466995,0.0507912,877500,1,7,0.5,0.05,0.1,1.28392,1.351498008,1.3515,0,0,0,0,0,0,0,0,0,3
156,157,157,166,168,173,375,51,179,323.8770142,284.3540039,46,-1,39.5227013,0.105394,562500,1,13,0.5,0.1,0.2,1.72075,1.830700278,1.8113101,0,0,0,0,0,0,0,0,0,2
157,158,158,170,169,174,212.1320344,8,167,541.0219727,541.0219727,1829,153,0,0.00001,41242500,8,6,4.5,0.03,0.21,2.5752101,2.710749626,2.7107501,0,0,0,0,0,0,0,0,0,3
158,159,159,168,175,165,1875,149,149,137.6239929,13.0597,58,-1,124.564003,0.0664343,1665000,1,8,1,0.05,0.15,1.7969199,1.970598459,1.89149,0,0,1,2,1,1,0,0,0,1
159,160,160,140,144,177,1854.594155,116,177,401.2799988,367.3330078,32,-1,33.9469986,0.0183043,1305000,1,8,1,0.05,0.15,1.79246,1.88679719,1.8868001,0,0,1,1,1,1,0,0,0,2
160,161,161,169,178,165,1086.396103,49,149,13.0597,13.0597,71530,197,0,0.00001,1609970048,77,6,4.5,0.03,0.21,2.45136,2.584276676,2.58038,1,2,1,2,1,2,1,1,1,1
161,162,162,147,152,179,1828.858223,165,192,74.6361008,54.2522011,45,-1,20.3838997,0.0111457,1845000,1,8,1,0.05,0.15,1.95673,2.059712887,2.05971,0,0,1,1,0,0,0,0,0,1
162,163,163,143,146,179,2123.528137,110,192,134.1260071,54.2522011,3,-1,79.8740997,0.0376139,1237500,1,8,1,0.05,0.15,1.87463,1.988499641,1.97329,0,0,0,0,0,0,0,0,0,1
163,164,164,160,162,180,900,80,210,98.3967972,96.586998,676,145,1.80976,0.0020108,16110000,5,9,2,0.05,0.2,2.085,2.194732904,2.19473,0,0,1,3,1,2,0,0,1,2
164,165,165,158,159,177,2697.792206,195,177,432.3429871,367.3330078,39,-1,65.009903,0.0240974,2182500,1,8,1,0.05,0.15,1.54861,1.630111456,1.63011,0,0,1,1,1,1,0,0,0,2
165,166,166,156,158,181,1487.132034,84,173,617.7349854,541.0219727,50,-1,76.7130966,0.0515846,945000,1,7,0.5,0.05,0.1,1.42529,1.500306726,1.5003099,0,0,0,0,0,0,0,0,0,3
166,167,167,176,174,181,636.3961031,47,173,541.0219727,541.0219727,1925,158,0,0.00001,43830000,9,6,4.5,0.03,0.21,1.9404,2.042524099,2.04252,0,0,0,0,0,0,0,0,0,3
167,168,168,184,182,181,225,54,173,541.0219727,541.0219727,41,-1,0,0.00001,607500,1,1,0.5,0.03,0.06,1.8332,1.929684281,1.92968,0,0,0,0,0,0,0,0,0,3
168,169,169,177,183,174,1875,88,167,667.6779785,541.0219727,49,-1,126.6559982,0.0675499,990000,1,7,0.5,0.05,0.1,1.27588,1.343035817,1.34304,0,0,0,0,0,0,0,0,0,3
169,170,170,164,184,164,3336.396103,108,147,641.4869995,541.0219727,152,187,100.4649963,0.0301117,4635000,2,8,1,0.05,0.15,1.4196399,1.49436295,1.49436,0,0,0,0,0,0,0,0,0,3
170,171,171,161,185,162,2428.858223,131,164,167.1600037,98.3967972,34,-1,68.7631989,0.0283109,1462500,1,8,1,0.05,0.15,1.90992,2.108720303,2.0104401,0,0,1,1,1,1,0,0,0,2
171,172,172,154,157,186,1722.792206,71,175,156.4689941,135.095993,5261,150,21.3731995,0.0124061,119160000,22,12,4.5,0.05,0.35,1.74585,1.837737799,1.8377399,1,3,1,3,1,4,1,1,0,2
172,173,173,183,181,187,212.1320344,1,184,541.0219727,541.0219727,2110,167,0,0.00001,47475000,10,6,4.5,0.03,0.21,1.70558,1.79534924,1.79535,0,0,0,0,0,0,0,0,0,3
173,174,174,153,156,188,1748.528137,79,190,153.3130035,106.1139984,486,139,47.1994019,0.0269938,11812500,3,9,2,0.05,0.2,1.83172,1.928123951,1.92812,0,0,1,3,1,1,0,0,0,2
174,175,175,187,186,188,662.1320344,16,190,135.095993,106.1139984,8741,172,28.9818993,0.0437706,196852000,23,12,4.5,0.05,0.35,1.77079,1.86398983,1.8639899,1,3,1,3,1,4,1,1,0,2
175,176,176,175,189,173,2736.396103,204,179,333.9320068,284.3540039,2863,183,49.5774994,0.0181178,66712500,13,12,4.5,0.05,0.35,1.71337,1.84152019,1.80354,1,1,1,1,1,3,0,0,0,2
176,177,177,179,177,189,574.2640687,7,176,367.3330078,333.9320068,311,165,33.4012985,0.0581637,7065000,2,8,1,0.05,0.15,1.75872,1.91835773,1.85128,0,0,1,1,1,1,0,0,0,2
177,178,178,190,190,184,525,62,170,802.6339722,641.4869995,3,-1,161.147995,0.306948,697500,1,13,0.5,0.1,0.2,1.19511,1.25800693,1.25801,0,0,0,0,0,0,0,0,0,3
178,179,179,174,173,191,2597.056275,95,188,284.3540039,182.1889954,3118,176,102.1650009,0.0393388,71212496,14,12,4.5,0.05,0.35,1.5912499,1.674998641,1.675,1,1,1,1,1,4,0,0,0,2
179,180,180,157,192,154,2697.792206,201,138,783.8790283,574.1699829,6,-1,209.7089996,0.0777336,2250000,1,8,1,0.05,0.15,1.26516,1.331743002,1.33174,0,0,0,0,0,0,0,0,0,3
180,181,181,185,193,178,1554.594155,75,161,82.1350021,13.0597,47,-1,69.0752029,0.044433,832500,1,7,0.5,0.05,0.1,1.65947,1.74680829,1.74681,0,0,1,2,1,1,0,0,0,1
181,182,182,182,194,180,1735.660172,90,210,165.7570038,96.586998,1,-1,69.1696014,0.039852,1012500,1,8,1,0.05,0.15,1.82833,1.972594976,1.92456,0,0,1,1,0,0,0,0,0,2
182,183,183,193,195,189,2048.528137,116,176,385.4630127,333.9320068,2429,184,51.5306015,0.0251549,55957500,12,12,4.5,0.05,0.35,1.68625,1.774996161,1.775,1,1,1,1,1,3,0,0,0,3
183,184,184,188,187,195,2710.660172,154,183,541.0219727,385.4630127,2164,173,155.5590057,0.057388,50422500,11,12,4.5,0.05,0.35,1.52526,1.605532646,1.60553,1,1,1,1,1,3,0,0,0,3
184,185,185,189,196,187,918.1980515,53,184,736.1660156,541.0219727,4,-1,195.1439972,0.21253,585000,1,13,0.5,0.1,0.2,1.3301001,1.400108099,1.40011,0,0,0,0,0,0,0,0,0,3
185,186,186,171,197,169,4125,150,158,819.276001,541.0219727,50,-1,278.2539978,0.0674556,1687500,1,8,1,0.05,0.15,1.20672,1.27023232,1.2702301,0,0,0,0,0,0,0,0,0,3
186,187,187,191,198,184,1316.726189,85,170,918.8729858,641.4869995,36,-1,277.3859863,0.210664,945000,1,13,0.5,0.1,0.2,1.30154,1.370040417,1.3700401,0,0,0,0,0,0,0,0,0,3
187,188,188,194,191,186,2622.792206,129,175,182.1889954,135.095993,3280,179,47.0937004,0.0179556,75240000,15,12,4.5,0.05,0.35,1.76262,1.855393291,1.85539,1,3,1,1,1,4,1,1,0,2
188,189,189,195,199,191,949.2640687,67,188,295.6879883,182.1889954,21,-1,113.4990005,0.119565,742500,1,13,0.5,0.1,0.2,1.6271,1.791210175,1.7127399,0,0,0,0,0,0,0,0,0,2
189,190,190,192,188,200,874.2640687,65,194,106.1139984,97.8359985,9324,175,8.2777395,0.0094682,210510000,24,12,4.5,0.05,0.35,1.97004,2.144283295,2.07373,1,3,1,2,1,4,1,1,0,2
190,191,191,198,201,200,225,58,194,108.3939972,97.8359985,36,-1,10.5581999,0.0469255,652500,1,7,0.5,0.05,0.1,1.88054,1.979511499,1.9795099,0,0,0,0,0,0,0,0,0,2
191,192,192,180,179,204,1562.132034,58,195,54.2522011,16.0156002,274,162,38.236599,0.0244772,6817500,2,8,1,0.05,0.15,1.94959,2.059712887,2.0522001,0,0,1,1,0,0,0,0,1,1
192,193,193,173,172,206,2459.92424,133,201,166.9299927,97.8359985,48,-1,69.0942993,0.028088,1485000,1,8,1,0.05,0.15,1.76907,2.056776524,1.86218,0,0,1,1,1,1,0,0,1,2
193,194,194,197,200,206,424.2640687,18,201,97.8359985,97.8359985,9446,190,0,0.00001,212738000,25,6,4.5,0.03,0.21,2.0265,2.133153915,2.1331501,1,3,1,2,1,4,1,1,0,2
194,195,195,201,204,207,212.1320344,45,199,16.0156002,16.0156002,1652,203,0,0.00001,37665000,8,5,4,0.03,0.18,2.5564899,2.691042423,2.69104,1,1,1,2,1,2,1,1,1,1
195,196,196,208,209,210,225,53,197,13.8241997,13.4073,52,-1,0.41695,0.0018531,585000,1,1,0.5,0.03,0.06,2.3380401,2.461095333,2.4611001,1,1,1,2,1,1,1,1,1,1
196,197,197,186,210,178,2110.660172,170,161,13.4073,13.0597,71285,205,0.34752,0.0001647,1605830016,76,6,4.5,0.03,0.21,2.43167,2.562973976,2.5596499,1,2,1,2,1,2,1,1,1,1
197,198,198,200,203,211,680.3300859,69,206,16.0156002,16.0156002,49,-1,0,0.00001,765000,1,1,0.5,0.03,0.06,2.43818,2.584870815,2.5664999,1,1,1,2,1,1,1,1,1,1
198,199,199,205,207,211,212.1320344,0,206,16.0156002,16.0156002,70387,207,0,0.00001,1583709952,73,6,4.5,0.03,0.21,2.5194499,2.652050018,2.65205,1,1,1,2,1,2,1,1,1,1
199,200,200,203,205,212,649.2640687,64,211,160.5130005,95.2380981,48,-1,65.2752991,0.100537,720000,1,13,0.5,0.1,0.2,1.72174,1.993869066,1.81236,0,0,0,0,0,0,0,0,0,2
200,201,201,204,206,212,424.2640687,12,211,97.8359985,95.2380981,9597,194,2.5978401,0.0061232,216068000,26,12,4.5,0.05,0.35,2.0048699,2.133153915,2.1103899,1,3,1,2,1,4,1,1,1,2
201,202,202,196,213,195,1223.528137,111,183,445.2000122,385.4630127,21,-1,59.7378006,0.0488242,1237500,1,8,1,0.05,0.15,1.56024,1.642360091,1.64236,0,0,0,0,0,0,0,0,0,3
202,203,203,202,215,204,1986.396103,68,195,16.2075005,16.0156002,1223,210,0.19196,0.0000966,28282500,7,4,3,0.03,0.15,2.1786301,2.382731676,2.2932899,0,0,1,2,1,2,0,0,1,2
203,204,204,178,176,215,2511.396103,180,203,107.4840012,16.2075005,30,-1,91.2761993,0.0363448,2025000,1,8,1,0.05,0.15,1.81157,1.940818548,1.9069099,0,0,1,3,0,0,0,0,1,2
204,205,205,213,216,210,424.2640687,15,197,13.4512997,13.4073,71218,206,0.04404,0.0001038,1602560000,75,6,4.5,0.03,0.21,2.47839,2.630067348,2.60883,1,2,1,2,1,2,1,1,1,1
205,206,206,209,211,216,1924.264069,96,205,16.0156002,13.4512997,70456,199,2.5643001,0.0013326,1586339968,74,6,4.5,0.03,0.21,2.29562,2.426626444,2.41645,1,2,1,2,1,2,1,1,1,1
206,207,207,210,217,207,786.3961031,20,199,16.0156002,16.0156002,68700,222,0,0.00001,1545980032,72,6,4.5,0.03,0.21,2.4734199,2.603602171,2.6036,1,1,1,2,1,2,1,1,1,2
207,208,208,212,214,218,375,58,219,678.0670166,644.4580078,47,-1,33.6088982,0.0896237,652500,1,7,0.5,0.05,0.1,1.3412499,1.411839604,1.41184,0,0,0,0,0,0,0,0,0,3
208,209,209,215,219,216,150,6,205,13.4799004,13.4512997,664,216,0.02865,0.000191,15007500,4,3,2,0.03,0.12,2.5030301,2.634773016,2.6347699,0,0,0,0,0,0,0,0,1,1
209,210,210,181,180,215,4009.188309,197,203,96.586998,16.2075005,846,164,80.3795013,0.0200488,21240000,6,10,3,0.05,0.25,1.81317,1.90860486,1.9086,0,0,1,3,1,2,0,0,1,2
210,211,211,211,212,221,724.2640687,42,223,95.2380981,84.4459,9673,201,10.7923002,0.014901,218115008,27,12,4.5,0.05,0.35,1.93217,2.033866405,2.03387,1,3,1,2,1,4,1,1,1,2
211,212,212,221,222,219,375,53,209,14.3155003,13.4799004,31,-1,0.83552,0.0022281,585000,1,7,0.5,0.05,0.1,2.4256999,2.553366899,2.55337,0,0,0,0,0,0,0,0,1,1
212,213,213,207,224,218,3259.188309,379,219,731.4119873,644.4580078,369,226,86.9537964,0.0266796,12555000,3,9,2,0.05,0.2,1.3412499,1.411839604,1.41184,0,0,0,0,0,0,0,0,0,3
213,214,214,224,225,224,225,53,213,773.4890137,731.4119873,15,-1,42.0778008,0.187012,585000,1,13,0.5,0.1,0.2,1.4735301,1.551086187,1.55109,0,0,0,0,0,0,0,0,0,3
214,215,215,225,226,227,212.1320344,51,-1,172.7079926,171.1549988,2,-1,1.5526,0.007319,562500,1,7,0.5,0.05,0.1,2.1682799,2.28240037,2.2823999,0,0,0,0,0,0,0,0,0,2
215,216,216,216,228,219,600,30,209,14.3613997,13.4799004,575,272,0.88149,0.0014691,13275000,3,3,2,0.03,0.12,2.4686699,2.598596096,2.5985999,0,0,1,2,0,0,0,0,1,1
216,217,217,222,229,221,680.3300859,61,223,178.5780029,84.4459,27,-1,94.131897,0.138362,675000,1,13,0.5,0.1,0.2,1.7237999,1.921233416,1.81452,0,0,0,0,0,0,0,0,0,2
217,218,218,206,208,230,1528.858223,128,252,397.7349854,361.6140137,12,-1,36.1208,0.023626,1440000,1,8,1,0.05,0.15,1.72464,1.815413952,1.81541,0,0,0,0,0,0,0,0,0,2
218,219,219,214,218,232,1298.528137,126,237,644.4580078,577.9099731,795,213,66.5482025,0.0512489,19305000,4,9,2,0.05,0.2,1.3412499,1.411839604,1.41184,0,0,0,0,0,0,0,0,0,3
219,220,220,227,233,230,587.1320344,51,252,399.0450134,361.6140137,40,-1,37.4305,0.0637514,562500,1,7,0.5,0.05,0.1,1.77908,1.872710824,1.87271,0,0,0,0,0,0,0,0,0,2
220,221,221,233,237,228,530.3300859,48,216,15.9784002,14.3613997,44,-1,1.61694,0.0030489,540000,1,7,0.5,0.05,0.1,2.4356899,2.563884735,2.56388,0,0,1,2,0,0,0,0,1,1
221,222,222,218,238,217,1422.792206,52,207,16.0156002,16.0156002,68559,227,0,0.00001,1543160064,71,6,4.5,0.03,0.21,2.05462,2.16275692,2.16276,1,2,1,2,1,2,1,1,1,2
222,223,223,219,221,240,1298.528137,55,242,84.4459,67.4571991,9776,211,16.9885998,0.013083,220568000,28,12,4.5,0.05,0.35,1.76964,1.862774014,1.86277,1,3,1,2,1,4,1,1,1,2
223,224,224,223,223,241,830.3300859,85,278,189.5149994,179.6499939,58,-1,9.8647003,0.0118805,945000,1,7,0.5,0.05,0.1,1.98016,2.084381342,2.0843799,0,0,0,0,0,0,0,0,0,2
224,225,225,220,220,241,1161.396103,132,278,200.6869965,179.6499939,16,-1,21.0368996,0.0181135,1485000,1,8,1,0.05,0.15,1.73421,1.825479507,1.82548,0,0,1,1,1,1,0,0,0,2
225,226,226,231,243,224,636.3961031,55,213,791.940979,731.4119873,253,238,60.5297012,0.0951132,6300000,2,8,1,0.05,0.15,1.42735,1.502475739,1.50248,0,0,0,0,0,0,0,0,0,3
226,227,227,237,244,238,662.1320344,12,222,16.0156002,16.0156002,68391,249,0,0.00001,1538930048,70,6,4.5,0.03,0.21,2.26284,2.381940842,2.3819399,1,2,1,2,1,2,1,1,1,2
227,228,228,238,239,238,3204.594155,160,222,119.7050018,16.0156002,3,-1,103.689003,0.0323565,1800000,1,8,1,0.05,0.15,1.78733,1.881402969,1.8814,0,0,0,0,0,0,0,0,1,2
228,229,229,240,245,240,375,54,242,124.9150009,67.4571991,4,-1,57.4580994,0.153221,607500,1,13,0.5,0.1,0.2,1.74931,1.865167618,1.84138,0,0,0,0,0,0,0,0,0,2
229,230,230,234,234,247,680.3300859,50,244,947.072998,716.6630249,45,-1,230.4100037,0.338674,562500,1,13,0.5,0.1,0.2,1.19221,1.322309613,1.2549599,0,0,0,0,0,0,0,0,0,2
230,231,231,242,242,247,437.1320344,49,244,820.5910034,716.6630249,45,-1,103.9280014,0.237749,540000,1,13,0.5,0.1,0.2,1.26396,1.349384904,1.33048,0,0,0,0,0,0,0,0,0,2
231,232,232,229,231,248,892.4621202,69,240,576.1459961,464.2430115,45,-1,111.9029999,0.125386,765000,1,13,0.5,0.1,0.2,1.36611,1.438010335,1.43801,0,0,0,0,0,0,0,0,0,3
232,233,233,217,249,217,1642.46212,86,207,82.3572998,16.0156002,40,-1,66.3416977,0.0403916,967500,1,7,0.5,0.05,0.1,1.9227999,2.023998499,2.0239999,1,1,1,1,1,1,1,1,0,2
233,234,234,244,250,244,1174.264069,52,227,18.9524994,16.0156002,169,250,2.93695,0.0025011,4387500,2,8,1,0.05,0.15,2.3606999,2.48755908,2.4849401,1,1,1,1,1,1,1,1,0,2
234,235,235,250,251,250,225,46,234,23.3402004,18.9524994,44,-1,4.38767,0.0195008,517500,1,7,0.5,0.05,0.1,2.0623801,2.170929432,2.1709299,0,0,0,0,0,0,0,0,0,2
235,236,236,249,252,248,1562.132034,159,240,468.7569885,464.2430115,2967,270,4.5144,0.0028899,68535000,7,12,4.5,0.05,0.35,2.0204201,2.126752615,2.12675,0,0,0,0,0,0,0,0,0,3
236,237,237,230,232,252,2684.924241,204,236,577.9099731,468.7569885,1118,219,109.1520004,0.0406537,27450000,5,10,3,0.05,0.25,1.3223799,1.391983628,1.3919801,0,0,0,0,0,0,0,0,0,3
237,238,238,243,254,243,2066.726189,153,226,1240.910034,791.940979,8,-1,448.9729919,0.217239,1710000,1,14,1,0.1,0.3,1.05237,1.134729624,1.10776,0,0,0,0,0,0,0,0,0,3
238,239,239,236,236,256,1275,65,247,635.8189697,453.4890137,45,-1,182.3300018,0.143004,720000,1,13,0.5,0.1,0.2,1.35436,1.425644636,1.42564,0,0,0,0,0,0,0,0,0,3
239,240,240,248,248,256,2684.924241,190,247,464.2430115,453.4890137,3195,236,10.7538004,0.0040053,74025000,8,12,4.5,0.05,0.35,1.9418499,2.086385012,2.04405,0,0,0,0,0,0,0,0,0,3
240,241,241,245,257,243,1187.132034,98,226,1209.859985,791.940979,50,-1,417.9169922,0.352039,1102500,1,14,1,0.1,0.3,1.09974,1.182612181,1.15762,0,0,0,0,0,0,0,0,0,3
241,242,242,239,240,258,1748.528137,127,263,67.4571991,57.2988014,9885,223,10.1584997,0.0058097,223830000,29,12,4.5,0.05,0.35,1.8606,1.958529472,1.9585299,1,3,1,2,1,4,1,1,1,2
242,243,243,259,260,261,225,49,258,478.7250061,468.7690125,48,-1,9.9561005,0.0442493,540000,1,7,0.5,0.05,0.1,1.8303,1.926634669,1.92663,0,0,0,0,0,0,0,0,0,2
243,244,244,247,247,261,1086.396103,46,258,716.6630249,468.7690125,98,230,247.8939972,0.22818,2722500,2,14,1,0.1,0.3,1.28192,1.349384904,1.34938,0,0,0,0,0,0,0,0,0,2
244,245,245,257,262,258,618.1980515,61,263,127.473999,57.2988014,6,-1,70.1753006,0.113516,675000,1,13,0.5,0.1,0.2,1.821,1.916842461,1.91684,0,0,0,0,0,0,0,0,0,2
245,246,246,235,235,263,2061.396103,94,253,752.2630005,453.4890137,47,-1,298.7730103,0.144937,1057500,1,14,1,0.1,0.3,1.20513,1.268553019,1.26855,0,0,0,0,0,0,0,0,0,3
246,247,247,255,256,263,424.2640687,32,253,453.4890137,453.4890137,3450,240,0,0.00001,77985000,9,6,4.5,0.03,0.21,2.0540299,2.392701626,2.1621399,0,0,0,0,0,0,0,0,0,3
247,248,248,261,264,232,3608.452378,197,237,1051.069946,577.9099731,44,-1,473.1579895,0.131125,2205000,1,14,1,0.1,0.3,1.17808,1.240082622,1.24008,0,0,0,0,0,0,0,0,0,3
248,249,249,246,265,244,1598.528137,75,227,19.3169994,16.0156002,68093,276,3.30142,0.0020653,1532930048,69,12,4.5,0.05,0.35,2.11713,2.488072157,2.22856,1,3,1,2,1,2,1,1,1,2
249,250,250,251,266,250,1187.132034,124,234,19.9435997,18.9524994,46,-1,0.99105,0.0008348,1395000,1,2,1,0.03,0.09,2.26881,2.388221741,2.3882201,1,1,1,1,1,1,1,1,0,2
250,251,251,199,202,267,4109.92424,230,295,326.3359985,282.29599,47,-1,44.0400009,0.0107155,2587500,1,8,1,0.05,0.15,1.50573,1.667823076,1.58498,0,0,0,0,0,0,0,0,0,2
251,252,252,226,230,267,2136.396103,81,295,361.6140137,282.29599,178,218,79.3188019,0.0371274,4905000,2,8,1,0.05,0.15,1.57998,1.697173476,1.6631401,0,0,0,0,0,0,0,0,0,2
252,253,253,262,263,268,212.1320344,3,261,453.4890137,453.4890137,3576,247,0,0.00001,80482496,10,6,4.5,0.03,0.21,2.05512,2.251923561,2.16329,0,0,0,0,0,0,0,0,0,3
253,254,254,268,269,265,318.1980515,67,249,19.3875008,19.3169994,2,-1,0.07054,0.0002217,742500,1,1,0.5,0.03,0.06,2.5204799,2.6531353,2.6531401,0,0,0,0,0,0,0,0,0,2
254,255,255,265,271,268,662.1320344,22,261,456.6350098,453.4890137,2005,257,3.1459999,0.0047513,45360000,8,12,4.5,0.05,0.35,2.02197,2.128389835,2.1283901,0,0,0,0,0,0,0,0,0,3
255,256,256,269,270,273,318.1980515,53,259,442.7520142,442.0159912,41,-1,0.736,0.002313,585000,1,7,0.5,0.05,0.1,1.94403,2.046347141,2.04635,0,0,0,0,0,0,0,0,0,2
256,257,257,266,274,271,1986.396103,105,255,469.3599854,456.6350098,1394,316,12.7247,0.0064059,32535000,7,11,4,0.05,0.3,1.87121,1.969696879,1.9697,0,0,0,0,0,0,0,0,0,3
257,258,258,260,261,277,812.1320344,39,266,468.7690125,442.0159912,193,244,26.7535,0.0329423,4770000,3,8,1,0.05,0.15,1.7611901,1.880631685,1.85388,0,0,0,0,0,0,0,0,0,2
258,259,259,271,273,277,212.1320344,17,266,442.0159912,442.0159912,5774,260,0,0.00001,130095000,13,6,4.5,0.03,0.21,1.91062,2.011177301,2.0111799,0,0,0,0,0,0,0,0,0,2
259,260,260,272,278,273,812.1320344,33,259,453.4890137,442.0159912,5688,261,11.4734001,0.0141275,128340000,12,12,4.5,0.05,0.35,1.7684799,1.861558795,1.86156,0,0,0,0,0,0,0,0,0,2
260,261,261,264,268,278,636.3961031,25,260,453.4890137,453.4890137,5595,253,0,0.00001,126158000,11,6,4.5,0.03,0.21,1.7684799,1.861558795,1.86156,0,0,0,0,0,0,0,0,0,2
261,262,262,278,279,278,525,68,260,461.1789856,453.4890137,6,-1,7.6898999,0.0146474,765000,1,7,0.5,0.05,0.1,1.7684799,1.861558795,1.86156,0,0,0,0,0,0,0,0,0,2
262,263,263,256,258,280,1024.264069,52,268,57.2988014,49.6441994,10073,242,7.6546202,0.0074733,227228000,30,12,4.5,0.05,0.35,1.95736,2.060374737,2.06037,1,3,1,2,1,4,1,1,1,2
